"room_id","host_id","title","description","room_type","city","district","ward","address_detail","latitude","longitude","area","guest_capacity","price_per_month","deposit","min_lease_term","electricity_price","electricity_unit","water_price","water_unit","wifi_price","parking_fee","management_fee","misc_notes","cooking_allowed","pet_allowed","gender","curfew","curfew_time","status","moderationStatus","moderation_notes","created_at","updated_at","contact_name","contact_phone"
"1","2","KTX cao cấp ngay Làng Đại Học, bao điện nước, máy lạnh 24/24","Hệ thống ký túc xá Sleepbox hiện đại mới khai trương dành riêng cho sinh viên Đại học Quốc Gia. Mỗi box đều có cửa khóa riêng tư, kệ sách, đèn học, ổ cắm điện đầy đủ. Phòng máy lạnh bật 24/24, không gian sinh hoạt chung rộng rãi có sofa, tivi. Nhà bếp đầy đủ dụng cụ nấu ăn, máy lọc nước uống miễn phí. Vị trí cực đẹp: nằm ngay sau KTX khu A, cách trạm xe buýt 50m. An ninh tuyệt đối với camera và khóa vân tay. Giá thuê trọn gói đã bao gồm điện, nước, wifi, phí dịch vụ.","DORM","Thành phố Hồ Chí Minh","Thành phố Thủ Đức","Phường Linh Xuân","Đường số 6, Phường Linh Xuân, TP Thủ Đức","10.823","106.771","40","8","1800000","1800000","6","0","FREE","0","FREE","0","0","0","","true","false","ALL","true","23:00","PENDING","PENDING","","2025-11-24 10:49:12.728432","2025-12-26 11:06:30.478009","Nguyễn Quốc Lộc","0973277984"
"2","2","Phòng trọ gác lửng mới xây gần ĐH Sư Phạm Kỹ Thuật, giờ tự do","Cho thuê phòng trọ mới xây 100%, có gác lửng cao đứng không đụng đầu. Phòng rộng rãi, thoáng mát, có cửa sổ trời và ban công riêng phơi đồ. Trang bị sẵn kệ bếp nấu ăn, bồn rửa chén, toilet riêng thiết bị vệ sinh cao cấp. Khu vực an ninh, có bảo vệ 24/7, hầm để xe rộng rãi miễn phí. Vị trí thuận lợi: cách ĐH Sư Phạm Kỹ Thuật 5 phút đi xe, gần Vincom Thủ Đức, chợ Bắc Ninh. Giờ giấc tự do, không chung chủ, được nuôi thú cưng nhỏ. Wifi tốc độ cao lắp riêng từng phòng.","ROOM","Thành phố Hồ Chí Minh","Thành phố Thủ Đức","Phường Bình Thọ","Hữu Nghị, Phường Bình Thọ (Thủ Đức)","10.823","106.771","25","3","3500000","3500000","12","3500","KWH","100000","PERSON","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED","không đúng định dạng","2025-11-24 10:49:12.728432","2025-12-01 03:01:57.048462",,
"3","2","Sleepbox giá rẻ cho sinh viên Nông Lâm, Nhân Văn - Linh Trung","Mô hình Sleepbox giá rẻ tiết kiệm chi phí tối đa cho sinh viên. Giường tầng chắc chắn, nệm cao su non êm ái, rèm che riêng tư. Phòng có máy lạnh, tủ lạnh chung, máy giặt sấy miễn phí trên sân thượng. Không gian yên tĩnh, văn minh, cam kết không tụ tập nhậu nhẹt, ưu tiên sinh viên năm 1, năm 2. Vị trí nằm ngay ngã tư Linh Xuân, thuận tiện bắt xe bus đi vào trung tâm hoặc đi Làng Đại Học. Xung quanh nhiều quán cơm sinh viên giá rẻ, cửa hàng tiện lợi Circle K.","DORM","Thành phố Hồ Chí Minh","Thành phố Thủ Đức","Phường Linh Xuân","QL1K, Phường Linh Xuân, TP Thủ Đức","10.823","106.771","50","10","1500000","1500000","6","0","FREE","0","FREE","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED","ok","2025-11-24 10:49:12.728432","2025-12-01 03:02:21.842695",,
"4","2","Phòng full nội thất ngay cổng sau ĐH Bách Khoa, Quận 10","Phòng trọ cao cấp nằm ngay cư xá Lữ Gia, đi bộ 3 phút tới cổng sau Đại học Bách Khoa TP.HCM. Phòng được setup full nội thất gồm: Máy lạnh Inverter, tủ lạnh, giường nệm, tủ quần áo gỗ, bàn học. Toilet riêng sạch sẽ có nước nóng lạnh năng lượng mặt trời. Khu dân trí cao, yên tĩnh tuyệt đối để học tập. Có máy giặt chung sân thượng, chỗ phơi đồ rộng rãi. Ra vào bằng khóa vân tay, giờ giấc tự do 24/24. Gần bệnh viện Trưng Vương, nhà thi đấu Phú Thọ.","STUDIO","Thành phố Hồ Chí Minh","Quận 10","Phường 15","Lý Thường Kiệt, Phường 15 (Hòa Hưng), Quận 10","10.768","106.668","20","2","4800000","4800000","6","4000","KWH","100000","PERSON","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
"5","4","Phòng trọ giá rẻ cho sinh viên Kinh Tế, Huflit - Quận 10","Chính chủ cho thuê phòng trọ giá bình dân tại Quận 10, phù hợp nhóm 2-3 bạn sinh viên UEH, HUFLIT. Phòng trống suốt, sạch sẽ, có cửa sổ hành lang thoáng mát. Toilet dùng chung (2 phòng 1 toilet) luôn được vệ sinh hàng ngày. Khu vực trung tâm, hẻm xe hơi thông thoáng, không ngập nước. Gần chợ, siêu thị Big C Miền Đông. Điện nước tính theo giá nhà nước cực rẻ. Yêu cầu sinh viên ngoan hiền, giữ gìn vệ sinh chung, không gây ồn ào sau 10h tối.","ROOM","Thành phố Hồ Chí Minh","Quận 10","Phường 13","Tô Hiến Thành, Phường 13 (Vườn Lài), Quận 10","10.768","106.668","18","2","2800000","2800000","6","3500","KWH","20000","M3","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
"6","5","Căn hộ mini ban công lớn gần HUTECH, UEF - Bình Thạnh","Cho thuê căn hộ mini dạng Studio có ban công lớn view Landmark 81 cực chill. Phòng rộng 30m2, thiết kế hiện đại, sàn gỗ sang trọng. Nội thất đầy đủ: Máy lạnh, tủ lạnh 2 cánh, sofa, giường nệm, tủ bếp trên dưới. Vị trí đắc địa ngay ngã tư Hàng Xanh, thuận tiện di chuyển qua HUTECH, UEF, Ngoại Thương chỉ 5 phút. Tòa nhà có thang máy, bảo vệ 24/24, hầm xe rộng. Miễn phí wifi, phí quản lý, phí gửi xe máy. Chỉ tính tiền điện và nước.","STUDIO","Thành phố Hồ Chí Minh","Quận Bình Thạnh","Phường 28","Xô Viết Nghệ Tĩnh, Phường 28 (Bình Quới), Bình Thạnh","10.804","106.712","30","2","6000000","6000000","6","4000","KWH","100000","PERSON","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
"7","2","Phòng ở ghép nữ Quận Bình Thạnh, sạch sẽ, an ninh","Tìm 01 bạn nữ ở ghép phòng trọ tại Bình Thạnh. Phòng hiện tại đã có 2 bạn sinh viên năm 3 vui tính, hòa đồng. Phòng rộng 25m2, có gác lửng, toilet riêng. Đã có sẵn tủ lạnh, máy giặt, bếp gas dùng chung. Yêu cầu: Nữ sinh viên hoặc nhân viên văn phòng, gọn gàng, trung thực. Chi phí: Tiền phòng 1tr2/người + Điện nước chia đều theo hóa đơn. Gần chợ Bà Chiểu, ĐH Mỹ Thuật. Giờ giấc tự do, có chìa khóa riêng.","ROOM","Thành phố Hồ Chí Minh","Quận Bình Thạnh","Phường 15","Bạch Đằng, Phường 15, Bình Thạnh","10.804","106.712","25","3","1200000","1200000","3","3500","KWH","50000","PERSON","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
"8","4","Homestay máy lạnh bao trọn gói gần ĐH Văn Lang CS3","Homestay cao cấp mới setup gần ĐH Văn Lang cơ sở 3 (Dương Quảng Hàm). Phòng ngủ tập thể giường tầng cao cấp, mỗi người 1 tủ đồ cá nhân có khóa. Phòng sinh hoạt chung decor đẹp mắt, có bàn làm việc nhóm, thư viện sách. Bếp nấu ăn rộng rãi trang bị lò vi sóng, bếp từ, tủ lạnh lớn. Dịch vụ dọn vệ sinh 3 lần/tuần. Giá thuê đã bao gồm tất cả chi phí điện, nước, internet, nước uống. Môi trường sống năng động, giúp rèn luyện tiếng Anh.","DORM","Thành phố Hồ Chí Minh","Quận Gò Vấp","Phường 5","Dương Quảng Hàm, Phường 5 (An Hội Tây), Gò Vấp","10.833","106.665","60","12","1600000","1600000","6","0","FREE","0","FREE","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
"9","5","Phòng trọ 15m2 giá rẻ đường Nguyễn Văn Nghi, Gò Vấp","Cho thuê phòng trọ nhỏ xinh 15m2, thích hợp ở 1 người. Phòng nằm trong dãy trọ an ninh, cổng khóa vân tay. Trong phòng có sẵn quạt trần, kệ bếp nhỏ, toilet riêng. Hành lang rộng thoáng mát, sạch sẽ. Vị trí trung tâm Gò Vấp, cách Đại học Công Nghiệp 500m, gần chợ Gò Vấp, Emart Phan Văn Trị. Giá thuê cực rẻ, điện nước giá dân. Ưu tiên sinh viên nam, ít đồ đạc. Cọc 1 tháng, thanh toán đầu tháng.","ROOM","Thành phố Hồ Chí Minh","Quận Gò Vấp","Phường 4","Nguyễn Văn Nghi, Phường 4 (Gò Vấp), Gò Vấp","10.833","106.665","15","1","2000000","2000000","6","3000","KWH","15000","M3","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
"10","2","Nhà nguyên căn 3PN cho nhóm sinh viên thuê chung - Tân Phú","Cho thuê nhà nguyên căn trong hẻm yên tĩnh đường Vườn Lài. Diện tích 4x12m, 1 trệt 2 lầu, gồm 3 phòng ngủ, 3 toilet, phòng khách, bếp. Nhà sạch sẽ, thoáng mát, có sân để xe. Thích hợp cho nhóm 4-6 sinh viên ĐH Văn Hiến, Cao đẳng Công Thương thuê chung để tiết kiệm chi phí. Điện nước giá nhà nước. Khu vực an ninh, hàng xóm thân thiện. Hợp đồng lâu dài, ổn định, không tăng giá trong 2 năm đầu.","HOUSE","Thành phố Hồ Chí Minh","Quận Tân Phú","Phường Tân Thành","Vườn Lài, Phường Tân Thành, Tân Phú","10.791","106.632","144","6","12000000","24000000","12","0","FREE","0","FREE","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
"11","4","Phòng khép kín đầy đủ đồ gần ĐH Quốc Gia, Sư Phạm - Cầu Giấy","Cho thuê phòng trọ khép kín tại ngõ 175 Xuân Thủy, Cầu Giấy. Diện tích 25m2, phòng mới sửa sang sạch đẹp. Trang bị sẵn: Điều hòa, nóng lạnh, giường, tủ quần áo, kệ bếp nấu ăn. Vệ sinh khép kín sạch sẽ. Nhà 5 tầng, không chung chủ, giờ giấc thoải mái. Có chỗ để xe tầng 1 miễn phí, camera an ninh giám sát. Vị trí trung tâm: Đi bộ 5 phút ra ĐH Quốc Gia, ĐH Sư Phạm, Học viện Báo chí. Gần chợ Xanh, Indochina Plaza.","ROOM","Thành phố Hà Nội","Quận Cầu Giấy","Phường Dịch Vọng Hậu","Ngõ 175 Xuân Thủy, Dịch Vọng Hậu, Cầu Giấy","21.0293","105.793","25","2","3200000","3200000","6","4000","KWH","80000","PERSON","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
"12","5","Chung cư mini thang máy, ban công thoáng ngõ 68 Cầu Giấy","Chung cư mini 7 tầng có thang máy, phòng rộng 30m2 có ban công phơi đồ riêng biệt. Nội thất cơ bản: Điều hòa, nóng lạnh, kệ bếp, rèm cửa. Phòng nào cũng có cửa sổ lớn đón ánh sáng tự nhiên. An ninh đảm bảo khóa vân tay 2 lớp, camera từng tầng. Dịch vụ dọn vệ sinh chung 2 lần/tuần. Vị trí đắc địa: Gần công viên Cầu Giấy, ĐH Giao Thông Vận Tải, Học viện Hành Chính. Đường ngõ rộng, ô tô đỗ cửa cách nhà 10m.","STUDIO","Thành phố Hà Nội","Quận Cầu Giấy","Phường Quan Hoa","Ngõ 68 Cầu Giấy, Quan Hoa, Cầu Giấy","21.0293","105.793","30","3","4500000","4500000","6","3800","KWH","25000","M3","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
"13","2","Homestay giường tầng cao cấp cho sinh viên Thương Mại - Mai Dịch","Hệ thống Homestay 5 sao dành cho sinh viên ĐH Thương Mại, CĐ Du Lịch. Phòng rộng 50m2, trang bị giường tầng homestay cao cấp có rèm che, đệm, ga, gối đầy đủ. Mỗi người 1 tủ quần áo và bàn học riêng. Tiện ích chung: Phòng khách tivi, Bếp từ, Tủ lạnh side-by-side, Máy giặt sấy. Bao trọn gói điện, nước, mạng, dịch vụ. Môi trường sống văn minh, sạch sẽ, quy định rõ ràng. Phù hợp sinh viên muốn tìm nơi yên tĩnh, tiện nghi với chi phí thấp.","DORM","Thành phố Hà Nội","Quận Cầu Giấy","Phường Mai Dịch","Hồ Tùng Mậu, Mai Dịch, Cầu Giấy","21.0293","105.793","50","8","1700000","1700000","6","0","FREE","0","FREE","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
"14","4","Phòng trọ giá rẻ Chùa Láng, gần Ngoại Thương, Ngoại Giao","Nhượng lại phòng trọ tầng 3 trong nhà 4 tầng tại ngõ 157 Chùa Láng. Diện tích 18m2, vệ sinh chung 2 phòng 1 tầng (có nóng lạnh). Phòng sạch sẽ, có cửa sổ thoáng. Tầng 1 để xe và nấu ăn chung. Vị trí cực tiện lợi: Ngay cạnh hồ Láng, đi bộ sang ĐH Ngoại Thương, Học viện Ngoại Giao, Học viện Thanh Thiếu Niên. Giá thuê rẻ, điện nước giá dân chia đầu người. Ưu tiên nữ sinh viên ở sạch sẽ, ngoan ngoãn. Chủ nhà dễ tính ở tầng 4.","ROOM","Thành phố Hà Nội","Quận Đống Đa","Phường Láng Thượng","Ngõ 157 Chùa Láng, Phường Láng Thượng, Đống Đa","21.01","105.832","18","2","2200000","2200000","3","3500","KWH","80000","PERSON","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
"15","5","Studio full đồ view đẹp khu Xã Đàn - Đống Đa","Cần cho thuê căn Studio tầng 5 (thang bộ) view cực thoáng tại Xã Đàn. Phòng setup theo phong cách vintage, đầy đủ: Giường pallet, tủ quần áo, bàn làm việc, máy lạnh, nóng lạnh, kệ bếp mini. Có sân thượng chill hóng gió, trồng cây. Vị trí trung tâm quận Đống Đa, gần Học viện Ngân Hàng, ĐH Y Hà Nội. Khu dân cư văn hóa, yên tĩnh. Giờ giấc tự do, khóa cổng vân tay. Phù hợp cho các bạn sinh viên thích không gian sống nghệ thuật.","STUDIO","Thành phố Hà Nội","Quận Đống Đa","Phường Nam Đồng","Ngõ Xã Đàn 2, Phường Nam Đồng, Đống Đa","21.01","105.832","28","2","4200000","4200000","6","4000","KWH","100000","PERSON","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
"16","2","Phòng trọ tập thể giường tầng khu Bách Khoa, Giải Phóng","KTX tư nhân mới xây khu vực Giải Phóng, gần Bách Khoa, Xây Dựng, Kinh Tế Quốc Dân. Phòng rộng, điều hòa mát lạnh, mỗi người 1 giường tầng sắt chắc chắn, có tủ cá nhân. Khu bếp nấu ăn và phơi đồ trên sân thượng rộng rãi. Vệ sinh chung từng tầng luôn sạch sẽ (có người dọn). Miễn phí Wifi, gửi xe. Vị trí gần bến xe Giáp Bát, bệnh viện Bạch Mai. Môi trường sinh viên các trường kỹ thuật chăm học, thân thiện. Giá siêu rẻ cho sinh viên.","DORM","Thành phố Hà Nội","Quận Hai Bà Trưng","Phường Đồng Tâm","Giải Phóng, Phường Đồng Tâm, Hai Bà Trưng","21.005","105.858","45","8","1400000","1400000","6","0","FREE","0","FREE","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
